query,top tables,target table,target answer
what was the outcome of the bolshevik revolution,The Secret Circle (TV series)_19A2CF734779720B,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Fall of the Western Roman Empire_E61A5530451B00C7,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of weapons in the American Civil War_B52937100E4E4F24,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Diriliş: Ertuğrul_8BB9043937626903,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,John Adams_C94D6077FEE01D40,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Agriculture in the United Kingdom_2727B48F9FD7A0A4,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of Black Clover episodes_6DC4D43530D88B34,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of Batman Family adversaries_253050084A982207,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Look What You Made Me Do_6A0E56D72F1B762B,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Smoking age_34659CBACA8BDBAC,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Philippine–American War_370DB9D43FBE96ED,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Fear the Walking Dead (season 3)_1A8792C8A9CA7238,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of forms of government_DC76FC90729282A7,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Ain't No Woman (Like the One I've Got)_6EFBD30A84E2354A,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Songs in the Key of Life_65811AC2C2F2E964,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Philippine Declaration of Independence_E9D901CEBDCE3400,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,A Poison Tree_23E70DF15F037671,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Acting President of the Quorum of the Twelve Apostles_6350850FAD3ECF94,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Acts of Union 1707_3265F0C568C04302,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of popes_8AE065C993676C95,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of Black Clover episodes_32633B332339607C,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Currency Act_4D487A073CA70C07,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Declaratory Act_4D487A073CA70C07,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Intolerable Acts_9BB4CFCF355EDDCA,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Navigation Acts_4D487A073CA70C07,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Quartering Acts_4D487A073CA70C07,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Sugar Act_4D487A073CA70C07,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Tea Act_9BB4CFCF355EDDCA,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Townshend Acts_4D487A073CA70C07,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Man with a Plan (TV series)_503A04F2BAF91013,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Myers–Briggs Type Indicator_A1A03C5E28BCB243,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,First Family of the United States_D1894B2575FFC91D,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of convicts on the First Fleet_D5B7112933D7B819,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Flags of Europe_36B90F35E49A491B,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Battle of Trenton_D37FDC020F0098F8,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of Roman emperors_D35E28E9950CBDC5,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,"Tomorrow, When the War Began (film)_79B949A47F1EA139",October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of Roman emperors_B70442ACECEE0F36,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Declarations of war by Great Britain and the United Kingdom_E1FA9E2AEC6312BA,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Boston Massacre_BA3AEA3BCF64D5B0,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Crisis of the Third Century_81858D1EEAC8CE9A,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,History of the United Kingdom_81858D1EEAC8CE9A,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Hair (musical)_6AF0504AD66A1EB4,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of former sovereign states_CB30CA396B38F521,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Boston Tea Party_4D487A073CA70C07,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Stamp Act 1765_4D487A073CA70C07,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,A Charlie Brown Christmas (soundtrack)_31C34FD237665050,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Governor of the Bank of England_6AED35F6E2F40203,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of Deadliest Catch episodes_730821FB68ABFBBD,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Dating the Bible_9600059337B39444,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Hogwarts staff_70C99E19EA7227D3,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Chester Bennington_F5249AE72D6F5B4C,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,History of the European Union_346C13917CEBC007,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,The School Boy_710F4EEA8A749E4C,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,It Was a Very Good Year_3504F7DDD3ADD08A,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Return of the Mack_45DCCDB9334C3FB5,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,2018 NFL season_65CA86284C8E589A,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,International System of Units_7B165B364F6ACF1B,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Amazed_7A4916FF34F96698,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Riverdale (2017 TV series)_B8233A8701A1EA4F,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,The Adventures of Sherlock Holmes_46E8AE6844806C,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,The Jungle Book_3778DD6184ABEF17,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Vietnam War_F831F5C7996E77B9,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Until You Come Back to Me (That's What I'm Gonna Do)_C95BE6191F65A348,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of school shootings in the United States_26143840C898681D,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Game seven_60A290BF45171B2F,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of Lucifer episodes_8CA5C90A00BE621A,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,I Wouldn't Have Missed It for the World_250F3A050FE2A45C,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Banknotes of the pound sterling_6AED35F6E2F40203,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Coins of the pound sterling_6AED35F6E2F40203,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Demography of the United Kingdom_6AED35F6E2F40203,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Non-Aligned Movement_D5377717340E30C3,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,In the Heat of the Night (TV series)_3DCAD1C90F3FAFE7,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Four Tops_6EFBD30A84E2354A,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,And did those feet in ancient time_710F4EEA8A749E4C,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Smoking age_4F85C7DAD19F7DA4,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of Batman Family adversaries_56CFDE85F79C6746,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,1967 Detroit riot_87F4A8E729922123,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Cinderella_12D54AE0866D3F68,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,"Give me liberty, or give me death!_4CF71BF001F2879A",October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,University of Texas tower shooting_D7DA66F9324B94E6,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Alison DiLaurentis_898D28D3308BE70F,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,History of taxation in the United Kingdom_6AED35F6E2F40203,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of heads of state of Mexico_2E119795E198B8A7,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of Blindspot episodes_85DE3A8B07C0AA3A,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Timeline of Roman history_117601D2C5EF0EC6,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Opposition to United States involvement in the Vietnam War_3907A8807DAA073C,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,King of Rome_15DFB2F2664BB95,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Communist Party of China_BBAF760B701A30E9,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of large aircraft_16628F5A864921E,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of World Heavyweight Champions (WWE)_A77903B306AA5AD2,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Saturday Night Live cast members_48C3CEADA0101658,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,The Fool on the Hill_4220599D0D278CC5,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Mao Zedong_BD66CC9C22765620,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Timeline of computer animation in film and television_DEB7E041A18654E7,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of school shootings in the United States_56141B616F6DBF8,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,List of school shootings in the United States_8F241ED9152E6E32,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,History of the Republic of India_F10D6FF3B37C0D29,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Snow White_12D54AE0866D3F68,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Love Like There's No Tomorrow_134430CB821815BB,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,The Troubles_3907A8807DAA073C,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
